id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29669054,Right at the heart of Vienna,88115480,Christian,,Landstra§e,48.21121,16.39052,Entire home/apt,90,6,4,2019-06-21,0.10,1,21,0,
29670358,Pazmaniten Apartment,223304461,Johann,,Leopoldstadt,48.22176,16.38391,Entire home/apt,55,10,0,,,2,365,0,
29671183,CheckVienna - Hütteldorfer Strasse Family,2816192,Martin,,Rudolfsheim-Fnfhaus,48.198,16.31555,Entire home/apt,75,2,65,2022-02-13,1.60,86,128,13,
29672007,"Apartment with terrace, City Centre-Naschmarkt",48686554,Angelika,,Wieden,48.19654,16.36332,Entire home/apt,100,2,27,2020-02-17,0.66,1,0,0,
29677479,Cosy artist apartment near Mariahilfestrasse,19976715,Ruxandra,,Mariahilf,48.19479,16.34222,Entire home/apt,44,2,1,2018-11-08,0.02,1,0,0,
30206991,"comfortable, quiet, near the Center",7830701,Charlotte,,Alsergrund,48.21677,16.34394,Entire home/apt,60,12,8,2019-02-03,0.20,2,17,0,
30216663,Wien City Appartement,35898514,Roman,,Innere Stadt,48.20947,16.37211,Entire home/apt,150,3,2,2018-12-11,0.05,1,0,0,
30217976,Reigenlive Rooms close to Schönbrunn,34123784,Wolfgang,,Penzing,48.18842,16.3039,Private room,90,2,15,2020-01-01,0.38,6,365,0,
30224128,La Petite Imperiale,145924174,Christian,,Alsergrund,48.22576,16.35606,Entire home/apt,50,2,108,2022-02-26,2.72,1,56,25,
30224593,☆CHARMANT WOHNEN  im kultigen BIOTOP von WIEN,77068375,Stefanie,,Neubau,48.20125,16.34587,Entire home/apt,61,2,16,2020-02-09,0.40,2,1,0,
30241480,"Just 2 min to the City Center, cosy Flat",192475412,Ozan,,Neubau,48.19935,16.34877,Entire home/apt,58,2,5,2020-01-19,0.18,1,0,0,
30252149,Apartment  1  Vienna City,227157990,Paola,,Innere Stadt,48.20588,16.36804,Entire home/apt,200,1,26,2020-02-09,0.66,2,0,0,
30252953,Nice Room close to Schönbrunn,34123784,Wolfgang,,Penzing,48.18842,16.3039,Private room,65,2,12,2020-02-18,0.30,6,365,0,
30255458,Single Room close to Schönbrunn,34123784,Wolfgang,,Penzing,48.18842,16.3039,Private room,35,2,11,2020-02-19,0.28,6,365,0,
30261588,Big cosy room in nice rooftop flat with balcony,113853354,Walter,,Ottakring,48.21458,16.32524,Private room,20,2,11,2019-02-27,0.27,2,0,0,
30264859,Spacious private apartment near historical center,19574990,Sarah,,Alsergrund,48.21723,16.34959,Entire home/apt,140,2,6,2020-01-01,0.15,1,0,0,
30267112,Cozy Room in a Big and bright Apartment,224803484,Shida,,Penzing,48.19561,16.26771,Private room,35,1,5,2020-01-01,0.12,1,0,0,
30277800,Ruhelage in der Wiener Innenstadt,329044565,Hannah,,Innere Stadt,48.21353,16.3702,Entire home/apt,95,3,83,2022-03-05,2.09,1,95,15,
30280470,Stylish and innovative design Apartment,66040140,Sascha & Marina,,Penzing,48.19862,16.30756,Entire home/apt,52,1,129,2022-02-22,3.24,32,351,20,
30282049,Cozy Central City Apartment,227433464,Matthias,,Alsergrund,48.2267,16.35543,Entire home/apt,65,4,1,2018-12-28,0.03,1,0,0,
30282163,Adorable apartment near Central Station,19493685,Ana&Vuk,,Wieden,48.18615,16.3741,Entire home/apt,101,2,18,2019-09-03,0.46,1,0,0,
30286325,Apartment 2 Vienna City,227157990,Paola,,Innere Stadt,48.20588,16.36804,Entire home/apt,200,1,48,2020-06-21,1.21,2,0,0,
